Metric,Model,Score,Rank
CatBoost,Fold,10.0,2.0
CatBoost,Accuracy,0.890079,7.5
CatBoost,Precision,0.891985,4.0
CatBoost,Recall,0.890079,7.5
CatBoost,F1,0.890479,5.0
CatBoost,AUC,0.982467,3.0
CatBoost,MCC,0.853813,9.0
CatBoost,Kappa,0.853436,10.0
CatBoost,Balanced Accuracy,0.890128,6.0
CatBoost,Training Time (s),26.60724,1.0
Logistic_Regression,Fold,10.0,2.0
Logistic_Regression,Accuracy,0.950228,7.5
Logistic_Regression,Precision,0.950519,4.0
Logistic_Regression,Recall,0.950228,7.5
Logistic_Regression,F1,0.950308,5.0
Logistic_Regression,AUC,0.99416,3.0
Logistic_Regression,MCC,0.933679,9.0
Logistic_Regression,Kappa,0.933637,10.0
Logistic_Regression,Balanced Accuracy,0.950284,6.0
Logistic_Regression,Training Time (s),34.92332,1.0
GBM,Fold,10.0,2.0
GBM,Accuracy,0.999287,7.0
GBM,Precision,0.999288,4.5
GBM,Recall,0.999287,7.0
GBM,F1,0.999287,7.0
GBM,AUC,0.999992,3.0
GBM,MCC,0.99905,9.5
GBM,Kappa,0.99905,9.5
GBM,Balanced Accuracy,0.999288,4.5
GBM,Training Time (s),39.129217,1.0
MLP,Fold,10.0,2.0
MLP,Accuracy,0.998921,6.5
MLP,Precision,0.998921,6.5
MLP,Recall,0.998921,6.5
MLP,F1,0.998921,6.5
MLP,AUC,0.999985,3.0
MLP,MCC,0.998561,9.5
MLP,Kappa,0.998561,9.5
MLP,Balanced Accuracy,0.998922,4.0
MLP,Training Time (s),482.534763,1.0
XGBoost,Fold,10.0,2.0
XGBoost,Accuracy,0.999226,6.5
XGBoost,Precision,0.999226,6.5
XGBoost,Recall,0.999226,6.5
XGBoost,F1,0.999226,6.5
XGBoost,AUC,0.999992,3.0
XGBoost,MCC,0.998969,9.0
XGBoost,Kappa,0.998968,10.0
XGBoost,Balanced Accuracy,0.999227,4.0
XGBoost,Training Time (s),62.968365,1.0
DecisionTree,Fold,10.0,2.0
DecisionTree,Accuracy,0.996376,5.5
DecisionTree,Precision,0.996377,4.0
DecisionTree,Recall,0.996376,5.5
DecisionTree,F1,0.996375,7.5
DecisionTree,AUC,0.998356,3.0
DecisionTree,MCC,0.995169,9.0
DecisionTree,Kappa,0.995168,10.0
DecisionTree,Balanced Accuracy,0.996375,7.5
DecisionTree,Training Time (s),67.333616,1.0
Random_Forest,Fold,10.0,2.0
Random_Forest,Accuracy,0.988354,7.5
Random_Forest,Precision,0.98846,4.0
Random_Forest,Recall,0.988354,7.5
Random_Forest,F1,0.988361,5.5
Random_Forest,AUC,0.999706,3.0
Random_Forest,MCC,0.984503,9.0
Random_Forest,Kappa,0.984472,10.0
Random_Forest,Balanced Accuracy,0.988361,5.5
Random_Forest,Training Time (s),240.936251,1.0
KNN,Fold,10.0,1.0
KNN,Accuracy,0.998962,6.5
KNN,Precision,0.998963,5.0
KNN,Recall,0.998962,6.5
KNN,F1,0.998961,8.0
KNN,AUC,0.999651,3.0
KNN,MCC,0.998616,9.5
KNN,Kappa,0.998616,9.5
KNN,Balanced Accuracy,0.998965,4.0
KNN,Training Time (s),4.725839,2.0
Bagging,Fold,10.0,2.0
Bagging,Accuracy,0.901399,7.5
Bagging,Precision,0.90218,4.0
Bagging,Recall,0.901399,7.5
Bagging,F1,0.901496,5.0
Bagging,AUC,0.985789,3.0
Bagging,MCC,0.86873,9.0
Bagging,Kappa,0.868532,10.0
Bagging,Balanced Accuracy,0.901472,6.0
Bagging,Training Time (s),108.764375,1.0
Stacking,Fold,10.0,2.0
Stacking,Accuracy,0.929637,6.5
Stacking,Precision,0.92988,4.0
Stacking,Recall,0.929637,6.5
Stacking,F1,0.929692,5.0
Stacking,AUC,0.989556,3.0
Stacking,MCC,0.906224,9.0
Stacking,Kappa,0.90618,10.0
Stacking,Balanced Accuracy,0.929608,8.0
Stacking,Training Time (s),40.824412,1.0
LightGBM,Fold,10.0,2.0
LightGBM,Accuracy,0.996274,6.5
LightGBM,Precision,0.996276,4.0
LightGBM,Recall,0.996274,6.5
LightGBM,F1,0.996273,8.0
LightGBM,AUC,0.999961,3.0
LightGBM,MCC,0.995034,9.0
LightGBM,Kappa,0.995032,10.0
LightGBM,Balanced Accuracy,0.996275,5.0
LightGBM,Training Time (s),23.833752,1.0
SVM,Fold,10.0,1.0
SVM,Accuracy,0.999631,5.5
SVM,Precision,0.999631,5.5
SVM,Recall,0.999631,5.5
SVM,F1,0.999631,5.5
SVM,AUC,,
SVM,MCC,0.999508,8.5
SVM,Kappa,0.999508,8.5
SVM,Balanced Accuracy,0.999644,3.0
SVM,Training Time (s),4.78738,2.0
